# list2_planets: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 1488768 candidate stars
# score: P_A * P(m2<13 MJ), ms_offset < 0.2 (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
211,2757306336165698304,0.58167124,0.58167124,1,262,-0.283384,False,False,False,False,False
212,1448533628166422656,0.58154514,0.58154514,1,263,0.144437,False,False,False,False,False
213,1717517740469399168,0.57930632,0.68965039,0.84,264,0.116907,False,False,True,False,False
214,415665118140313472,0.57913758,0.57913758,1,265,-0.385818,False,False,False,False,False
215,348020242217448576,0.5789535,0.5789535,1,266,-0.072971,False,False,False,False,False
216,102162639019033600,0.57834516,0.57834516,1,267,-0.068191,False,False,False,False,False
217,1123140411831352064,0.57808728,0.57808728,1,268,-0.011937,False,False,False,False,False
218,909612539297481472,0.57666614,0.65530243,0.88,269,-0.389726,False,False,False,False,False
219,358269546017619840,0.57608629,0.57608629,1,270,-0.109829,False,False,False,False,False
220,1546465994985741056,0.57564669,0.57564669,1,271,-0.194828,False,False,False,False,False
221,1967683917419519360,0.57562063,0.6256746,0.92,272,0.126907,False,False,True,False,False
222,6427708902553822592,0.57555613,0.57555613,1,273,-0.243732,False,False,False,False,False
223,6398188767690594048,0.57528711,0.57528711,1,274,-0.295575,False,False,False,False,False
224,4459548626016199168,0.57327501,0.57327501,1,276,0.132942,False,False,False,False,False
225,1005873614080407296,0.57250194,0.57250194,1,279,-0.102475,False,False,False,False,False
226,634729066075133056,0.57093585,0.57093585,1,280,-0.322638,False,False,False,False,False
227,6316829270920764800,0.57078423,0.62041764,0.92,281,-0.528799,False,False,False,False,False
228,5329034106217022976,0.57054756,0.57054756,1,282,-0.212845,False,False,False,False,False
229,3864228496219589120,0.57020304,0.57020304,1,283,-0.009308,False,False,False,False,False
230,220834234676263936,0.56804922,0.56804922,1,287,-0.107743,False,False,False,False,False
231,1483977656798789120,0.56769823,0.56769823,1,288,-0.519427,False,False,False,False,False
232,2515329665414503808,0.5671848,0.708981,0.8,289,0.088717,False,False,False,False,False
233,415710679155061248,0.56660688,0.56660688,1,290,0.187781,False,False,False,False,False
234,1193998747920687872,0.56602649,0.56602649,1,291,0.042987,False,False,False,False,False
235,1527043603113838976,0.565875,0.61508152,0.92,293,0.070746,False,False,False,False,False
236,2461045814278696448,0.56577527,0.56577527,1,294,-0.285134,False,False,False,False,False
237,1187207476912269568,0.56566384,0.56566384,1,295,0.124572,False,False,False,False,False
238,40111081832057984,0.56504922,0.56504922,1,296,-0.110746,False,False,False,False,False
239,3725701713434643328,0.56496192,0.7062024,0.8,297,-0.039753,False,False,True,False,False
240,1456888782668266240,0.56333244,0.56333244,1,299,-0.123042,False,False,False,False,False
241,271984340237451520,0.56302197,0.6397977,0.88,300,0.091582,False,False,False,False,False
242,569345026583048832,0.5622754,0.70284424,0.8,301,0.073697,False,False,False,False,False
243,6274553461150416000,0.56112986,0.56112986,1,302,0.045712,False,False,False,False,False
244,6042005308777992192,0.56050354,0.56050354,1,303,0.028888,False,False,False,False,False
245,6160591314314568320,0.56006626,0.56006626,1,304,0.129862,False,False,False,False,False
246,3715722687629983104,0.5589737,0.5589737,1,307,0.030644,False,False,False,False,False
247,6069775296000876416,0.55879194,0.55879194,1,309,-0.165352,False,False,False,False,False
248,5252904299084366336,0.55852585,0.55852585,1,311,0.140385,False,False,False,False,False
249,1123681096674583552,0.55788725,0.55788725,1,312,-0.226283,False,False,False,False,False
250,5131385036998273152,0.5578773,0.73404908,0.76,313,-0.163845,False,False,True,False,False
251,4986885500889922304,0.55647295,0.55647295,1,315,-0.057387,False,False,False,False,False
252,4239199589512756352,0.5555235,0.5555235,1,316,-0.150119,False,False,False,False,False
253,3240217301987207936,0.55547636,0.77149495,0.72,317,0.024368,False,False,False,False,False
254,6663600360560306560,0.55535193,0.55535193,1,318,-0.119715,False,False,False,False,False
255,4984686477635291264,0.55529262,0.55529262,1,319,0.015336,False,False,False,False,False
256,4654800210124325760,0.55512389,0.73042618,0.76,320,-0.115873,False,False,False,False,False
257,1421042126620559104,0.55508569,0.69385711,0.8,321,0.081143,False,False,False,False,False
