# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
116,787481261591678592,0.77136405,0.77136405,0,169,0.551841,False,False,False,False,False
117,1039772176038068864,0.77131071,0.77131071,1,170,0.429795,False,False,False,False,False
118,1281844091982600192,0.77120201,0.77120201,0.16,173,0.671173,False,False,False,False,False
119,6776239897983510784,0.77114583,0.77114583,0.4,174,0.494353,False,False,True,False,False
120,3197623222256888192,0.7709544,0.7709544,0.72,175,0.98676,False,False,False,False,False
121,43574131143039104,0.77082009,0.77082009,1,177,0.095764,False,True,False,False,False
122,5735764382396668288,0.7707293,0.7707293,0.16,178,0.414947,False,True,False,False,False
123,3448119596292011008,0.77025283,0.77025283,0.52,181,0.534157,False,False,False,False,False
124,4059215823917758720,0.76980415,0.76980415,0.4,183,0.534089,False,False,False,False,False
125,1982655829820397696,0.76965147,0.76965147,0.84,185,0.122478,False,True,False,False,False
126,1050067659323348352,0.76950306,0.76950306,0.32,187,0.570068,False,False,True,False,False
127,3414679668121811200,0.76942338,0.76942338,0.08,188,0.628898,False,False,False,False,False
128,6484437002396397696,0.76933933,0.76933933,0.12,190,0.828468,False,False,False,False,False
129,5414293708159714048,0.76916696,0.76916696,0.6,191,0.040052,False,False,True,False,False
130,5808812121025442944,0.76906039,0.76906039,0.96,193,0.877003,False,False,False,False,False
131,6567609525117256576,0.76877686,0.76877686,0.8,194,0.10195,False,False,False,False,False
132,5969987567738442240,0.76876592,0.76876592,0.2,195,0.356877,False,False,False,False,False
133,6548716445017597568,0.76861382,0.76861382,0.52,196,0.236552,False,False,False,False,False
